ReportingPeriodStartDate,ReportingPeriodEndDate,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Final_value
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Under 20,Women,85.0
2019-06-01,2019-06-30,BabyFirstFeedBreastMilkStatus,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Maternal or Donor Breast Milk,Babies,995.0
2019-06-01,2019-06-30,BabyFirstFeedBreastMilkStatus,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Babies,360.0
2019-06-01,2019-06-30,BabyFirstFeedBreastMilkStatus,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Not Breast Milk,Babies,285.0
2019-06-01,2019-06-30,ComplexSocialFactorsInd,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value,Women,135.0
2019-06-01,2019-06-30,ComplexSocialFactorsInd,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),N,Women,1560.0
2019-06-01,2019-06-30,ComplexSocialFactorsInd,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Y,Women,235.0
2019-06-01,2019-06-30,DeliveryMethodBabyGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Elective caesarean section,Women,200.0
2019-06-01,2019-06-30,DeliveryMethodBabyGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Emergency caesarean section,Women,205.0
2019-06-01,2019-06-30,DeliveryMethodBabyGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Instrumental,Women,175.0
2019-06-01,2019-06-30,DeliveryMethodBabyGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value/Value outside reporting parameters,Women,5.0
2019-06-01,2019-06-30,DeliveryMethodBabyGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Other,Women,5.0
2019-06-01,2019-06-30,DeliveryMethodBabyGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Spontaneous,Women,1040.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),01 - Most deprived,Women,145.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),02,Women,190.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),03,Women,220.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),04,Women,285.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),05,Women,325.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),06,Women,245.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),07,Women,180.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),08,Women,180.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),09,Women,100.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),10 - Least deprived,Women,50.0
2019-06-01,2019-06-30,DeprivationDecileAtBooking,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Women,5.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Any other ethnic group,Women,45.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Asian or Asian British,Women,20.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Black or Black British,Women,15.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Women,30.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Mixed,Women,20.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Not Stated,Women,105.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Not known,Women,40.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),White,Women,1660.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Has been taking prior to becoming pregnant,Women,515.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value/Value outside reporting parameters,Women,60.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Not Stated (Person asked but declined to provide a response),Women,45.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Not taking folic acid supplement,Women,150.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Started taking once pregnancy confirmed,Women,1160.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),0 to 70 days,Women,990.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),141+ days,Women,350.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),71 to 90 days,Women,475.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),91 to 140 days,Women,115.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Women,10.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),27 weeks and under,Babies,5.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),28 to 31 weeks,Babies,10.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),32 to 33 weeks,Babies,5.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),34 to 36 weeks,Babies,55.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),37 weeks,Babies,120.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),38 weeks,Babies,220.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),39 weeks,Babies,445.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),40 weeks,Babies,380.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),41 weeks,Babies,245.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),42 weeks,Babies,25.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),43 weeks and over,Babies,5.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Babies,125.0
2019-06-01,2019-06-30,GestationLengthBirthGroup37,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),<37 weeks,Babies,75.0
2019-06-01,2019-06-30,GestationLengthBirthGroup37,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),>=37 weeks,Babies,1435.0
2019-06-01,2019-06-30,GestationLengthBirthGroup37,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Babies,125.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Home (NHS care),Babies,40.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Maternity assessment or triage unit/ area,Babies,225.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Babies,650.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),NHS Alongside midwifery unit,Babies,65.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),NHS Obstetric unit (including theatre),Babies,655.0
2019-06-01,2019-06-30,PreviousCaesareanSectionsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),At least one Caesarean,Women,270.0
2019-06-01,2019-06-30,PreviousCaesareanSectionsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),"At least one Previous Birth, zero Caesareans",Women,585.0
2019-06-01,2019-06-30,PreviousCaesareanSectionsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Women,210.0
2019-06-01,2019-06-30,PreviousCaesareanSectionsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Zero Previous Births,Women,870.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),1,Women,630.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),2,Women,245.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),3,Women,105.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),4,Women,45.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),5+,Women,30.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Women,220.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),No previous live births,Women,660.0
2019-06-01,2019-06-30,SkinToSkinContact1HourTerm,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Missing Value / Value outside reporting parameters,Babies,235.0
2019-06-01,2019-06-30,SkinToSkinContact1HourTerm,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),N,Babies,230.0
2019-06-01,2019-06-30,SkinToSkinContact1HourTerm,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),Y,Babies,1170.0
2019-06-01,2019-06-30,TotalBabies,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),"",Babies,1640.0
2019-06-01,2019-06-30,TotalBookings,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),"",Women,1925.0
2019-06-01,2019-06-30,TotalDeliveries,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),"",Women,1620.0
2019-06-01,2019-06-30,AgeAtBookingMotherAvg,"NHS England (Region, Local Office)",Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),"",Average over women,30.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),20 to 24,Women,285.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),25 to 29,Women,600.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),30 to 34,Women,770.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),35 to 39,Women,450.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),40 to 44,Women,80.0
